Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
-0.08965676,-0.7164397,0.083144665,0.7100902,-0.41202635,-0.29347512,0.20838317,-0.3786785,-0.34809896,-0.014687899,-0.21875358,-0.26966023,-0.24091053,-0.3215066,-0.39739355,-0.36064908
-0.4853741,0.7480926,0.06294185,-0.58225673,0.8120642,-0.28740188,0.08470088,-0.35851324,-0.25355992,-0.13719696,-0.24627446,-0.19843234,-0.11726508,-0.26811916,-0.27078515,-0.28385726
-0.2832948,1.7980541,0.32811373,3.7035778,0.25888717,-0.19202091,-0.28776002,-0.17717153,-0.10226785,-0.22311892,-0.3781763,-0.690245,-0.3607471,-0.46769828,-0.68923974,-0.33044317
-0.3606485,-0.18420288,-0.118579306,-0.26098943,-0.35457012,-0.32321456,-0.16521639,-0.45815304,-0.29843184,-0.08057044,-0.6528212,-0.58829135,3.9966109,-0.516742,-0.4787533,-0.6482898
-0.41225272,-0.92033935,-1.1329858,-0.6039936,-0.9106686,-0.5962432,0.48933753,-0.7859734,-0.75746876,3.9844587,0.38110584,-0.18489085,-0.40423796,0.18499434,-0.054547,-0.42195225
0.053757273,1.9921064,0.16939335,4.492442,0.08262116,-0.2025123,-0.29504088,-0.18062343,-0.107766666,-0.2169735,-0.35141116,-0.6119501,-0.4041712,-0.39081344,-0.65213734,-0.35460806
-0.4817721,-0.45071775,0.4309557,-0.611818,0.038932726,-0.15687247,-0.053132687,-0.1848948,-0.23363806,-0.2833971,-0.26122898,-0.29355404,-0.30714157,-0.33453697,-0.3523905,-0.3677592
-0.19929764,-0.18869211,-0.14357442,-0.65673554,-0.5811042,-0.37558636,-0.31619284,-0.4919619,-0.28708413,0.01770741,3.5981839,-0.23885697,-0.26951134,-0.5546074,-0.17769082,3.5942576
-0.26734012,-0.15207477,0.0071368366,-0.18634284,-0.2930567,-0.23700306,-0.17922798,-0.28996697,-0.15276428,-0.276208,-0.76920706,3.4309142,-0.5324839,3.4008694,3.5074718,-0.09064781
-0.25766355,-0.14905804,-0.733519,-0.2914454,-0.6081729,-0.30237085,-0.14696175,-0.01942845,-0.28415808,-0.24996878,-0.8273194,2.917321,-0.28920388,2.8309157,2.942068,-0.18727382
-0.25895685,-0.24775505,-0.21551423,-0.25920796,-0.26831728,-0.27904835,-0.1775822,-0.4322602,-0.27790055,-0.22520758,-0.13533649,-0.3433081,-0.31234685,-0.3685378,-0.43076617,-0.18408483
-0.81329155,0.29344204,0.489772,-0.27898002,0.15385532,-0.16257983,-0.31006244,-0.40103394,-0.12685199,-0.16599596,3.590553,-0.48858318,-0.33851334,-0.82988554,-0.34599563,3.9100547
-0.32326365,-0.40881896,-0.5346075,-0.48597163,0.44625905,-0.12755081,-0.095587485,-0.28763285,-0.22131637,-0.18942645,-0.77805054,3.1618826,-0.45400378,3.1674361,3.1860073,-0.2363374
-0.30810386,-0.43007433,0.0077982545,-0.30364123,-0.47309405,-0.31329915,-0.2537595,-0.23582591,-0.21810411,-0.18861718,-0.7207831,3.2076447,-0.3842947,3.09946,3.2318463,-0.09279084
-0.8042426,-0.23705404,-0.20016389,-0.49095446,-0.060545877,-0.33230773,-0.15072268,-0.49628827,-0.30768782,-0.11206695,-0.69169223,-0.6242371,4.178071,-0.5839427,-0.4274036,-0.5447764
-0.099310786,-0.031000827,0.22382289,0.014630094,-0.36315233,-0.24791591,-0.02775106,-0.32840872,-0.18955658,-0.1485166,-0.13020898,-0.0726465,-0.18974012,-0.2605139,-0.12017815,0.024733497
-0.25545996,-0.27514994,-0.19126445,0.11512984,0.0070063993,-0.3683227,-0.17290725,-0.5249745,-0.2900888,-0.17716359,-0.23541115,-0.17010412,-0.18875735,-0.36761534,-0.16732368,0.04550993
-0.27989486,-0.23662429,-0.03779966,-0.3078354,-0.4149933,-0.60855025,0.48532248,-0.838208,-0.7710264,3.9463875,-0.1184563,-0.3765192,-0.21637164,-0.33897674,-0.5413476,-0.41688055
-0.1866629,-0.24056754,-0.14609939,-0.18732783,-0.29358527,-0.3947132,-0.2237119,-0.29848072,-0.3190741,-0.17004827,-0.9412072,2.8938274,-0.32952926,2.8633163,2.9206977,-0.36947164
3.5714293,-0.35986644,-0.20198137,-0.111257076,-0.7485579,-0.26801857,-0.118220165,-0.33999565,-0.26045257,-0.10590906,-0.28778058,-0.63342166,-0.36422208,-0.5278906,-0.6933847,-0.45468605
-0.2824848,3.3724158,-0.31205195,3.0365787,-0.15199897,-0.25753322,-0.3063085,-0.24366155,-0.14038934,-0.21703489,0.2184833,-0.4448609,-0.29333374,0.20242931,-0.40415013,-0.56922406
-0.43954998,-0.18667126,0.2928946,-0.3477099,0.094434485,-0.18587488,0.09224179,-0.31357932,-0.24349253,-0.1463863,0.01764712,-0.38689646,-0.31081983,-0.46913815,-0.4584051,-0.10828238
-0.21624935,-0.37766778,-0.62492216,-0.0019455329,-0.41970712,-0.22658382,0.57054645,-0.3052765,-0.60867524,3.0831401,-0.27096218,-0.17472011,-0.21800365,-0.27880988,-0.25505662,-0.2628944
3.921595,-1.0046707,-0.6642043,-0.30444428,-0.39350134,-0.465079,-0.50374913,-0.49016917,-0.46182358,-0.055398367,-0.25094828,-0.78193516,-0.24327935,-0.62491906,-0.7336894,-0.35204318
0.017470792,-0.05310598,-0.16746223,-0.7737584,0.19566232,-0.28348178,-0.26309997,-0.45211828,-0.24711569,-0.090332225,3.5887508,-0.33592275,-0.30056706,-0.6262673,-0.2334619,3.7015066
0.01252915,-0.21223766,-0.041650206,-0.53230363,-0.11343504,2.9610283,-0.9540417,2.464165,3.6952105,-1.1507177,-0.02740059,-0.3064055,-0.18631588,-0.34947935,-0.39143932,-0.16429684
-0.23273996,-0.22816168,-0.10979973,-0.19885646,-0.37576213,-0.21928917,-0.21354754,-0.30205038,-0.15199482,-0.22110966,-0.79027724,3.1536474,-0.35059246,3.1537309,3.1357496,-0.29977396
-0.25236276,-0.57799053,0.11803471,0.4688698,-0.3294496,-0.16784802,0.051507875,-0.15074152,-0.12150992,-0.3339243,-0.1774428,-0.20172518,-0.21364512,-0.24694262,-0.32502365,-0.34299362
-0.6695601,0.35973597,0.44396776,0.06552876,0.4458884,3.0438082,-0.9677497,2.4748456,3.6851454,-1.1530013,-0.041734084,-0.24999252,-0.21594928,-0.2989161,-0.3808421,-0.20381893
-0.20954937,0.3352855,-0.5248387,-0.05215265,0.41448334,-0.21048267,-0.089421175,-0.37286648,-0.14669444,-0.16536498,-0.5638872,-0.657148,3.3336928,-0.44266537,-0.5339444,-0.8016094
